Take,N,Label SD,SD,C,P,R1,R2,R1 part,R2 part,C Dens,P Dens,R1 Dens,R2 Dens,C Peak,P Peak,R1 Peak,R2 Peak
232,3,15:04,4,25.788823,25.768363,25.762229,,,,9,9,8,,0.085794,0.19662,0.246329,
232,3,15:05,5,25.918418,,25.915509,,,,9,,8,,0.271295,,0.792087,
232,3,15:06,6,26.037131,25.994238,26.022689,,,,9,8.5,8,,0.106271,0.183753,0.402479,
232,3,15:07,7,26.135567,26.129988,,,,,9,8.5,,,0.163414,0.030404,,
232,3,15:08,8,26.24686,26.225383,26.219637,,,,9,8.5,7.5,,0.133383,0.338536,0.388561,
232,3,15:09,9,26.374875,26.375821,26.370839,,,,9,8.5,8,,0.219429,0.06062,0.367955,
232,3,15:10,10,26.483263,26.475695,26.486782,,,,9,8.5,8,,0.131087,0.183532,0.285979,
232,3,15:11,11,26.579665,26.594121,,,,,9,8.5,,,0.172848,0.166629,,
232,3,15:12,12,26.689163,26.700444,26.686037,,,,9,8.5,7.5,,0.251541,0.309675,0.258965,
232,3,15:13,13,26.829111,26.83099,26.830024,,,,9,8.5,8,,0.324298,0.080091,0.69716,
232,3,15:14,14,26.951404,26.930925,,,,,9,8.5,,,0.12715,0.073946,,
232,3,15:15,15,27.039302,27.059762,,,,,9,8.5,,,0.199856,0.037401,,
232,3,15:16,16,27.146829,27.152781,27.139756,,,,9,8.5,7,,0.408669,0.512241,0.424776,
232,3,16:01,1,27.281062,27.285682,27.278071,,,,9,8.5,7,,0.188109,0.035452,0.01603,
232,3,16:02,2,27.394013,,,,,,9,,,,0.139782,,,
232,3,16:03,3,27.4985,27.511665,,,,,9,8.5,,,0.200093,0.498826,,
232,3,16:04,4,27.600556,27.613404,27.587132,,,,9,8.5,6,,0.140868,0.193359,0.008601,
232,3,16:05,5,27.727796,,,,,,9,,,,0.28403,,,
232,3,16:06,6,27.839114,27.835415,,,,,9,8,,,0.122763,0.224139,,
232,3,16:07,7,27.946008,27.956946,27.942321,,,,9,8.5,6,,0.160299,0.050314,0.009277,
232,3,16:08,8,28.054829,28.046961,,,,,9,8.5,,,0.254795,0.248637,,
232,3,16:09,9,28.179214,28.178619,,,,,9,8.5,,,0.293045,0.07298,,
232,3,16:10,10,28.301608,28.276724,,,,,9,8.5,,,0.143109,0.179903,,
232,3,16:11,11,28.396527,28.400915,28.393498,,,,9,8.5,6.5,,0.055623,0.167492,0.02418,
232,3,16:12,12,28.506787,28.509173,,,,,9,8.5,,,0.166842,0.146889,,
232,3,16:13,13,28.63905,28.63555,28.644979,,,,9,8.5,6.5,,0.241134,0.340351,0.012396,
232,3,16:14,14,28.752003,28.737508,,,,,9,8.5,,,0.07815,0.579882,,
232,3,16:15,15,28.840278,28.850382,,,,,9,8.5,,,0.15237,0.098926,,
232,3,16:16,16,28.955834,28.968232,28.961604,,,,9,8.5,6.5,,0.454362,0.269451,0.030195,
232,3,17:01,1,29.098226,29.094756,29.103813,,,,9,8.5,7,,0.419931,0.067373,0.019413,
232,3,17:02,2,29.210976,29.199466,,,,,9,8.5,,,0.176691,0.070226,,
232,3,17:03,3,29.307799,29.308534,,,,,9,8.5,,,0.353299,0.438504,,
232,3,17:04,4,29.416758,29.41511,29.421847,,,,9,8.5,7.5,,0.176057,0.057999,0.009773,
232,3,17:05,5,29.545202,29.544786,,,,,9,8.5,,,0.367101,0.675752,,
232,3,17:06,6,29.663033,29.633803,,,,,9,8.5,,,0.112367,0.151198,,
232,3,17:07,7,29.76421,29.756977,29.760113,,,,9,9,8,,0.376046,0.103708,0.023769,
232,3,17:08,8,29.859177,29.862059,,,,,9,9,,,0.181957,0.112689,,
232,3,17:09,9,29.99431,29.990504,,,,,9,9,,,0.375289,0.118754,,
232,3,17:10,10,30.11198,30.096117,,,,,9,9,,,0.157296,0.146384,,
232,3,17:11,11,30.210217,30.215638,30.215586,,,,9,9,8,,0.205778,0.286277,0.01395,
232,3,17:12,12,30.312064,30.307369,,,,,9,9,,,0.197374,0.382522,,
232,3,17:13,13,30.448237,30.453499,30.454046,,,,9,9,8,,0.411888,0.024418,0.028819,
232,3,17:14,14,30.569438,,,,,,9,,,,0.089527,,,
232,3,17:15,15,30.672482,30.665417,,,,,9,9,,,0.126499,0.141274,,
232,3,17:16,16,30.780812,30.759346,30.751804,,,,9,9,9,,0.183072,0.136314,0.420695,
232,3,18:01,1,30.910267,30.902056,,,,,9,9,,,0.366571,0.087057,,
232,3,18:02,2,31.020355,30.99698,31.015271,,,,9,9,8.5,,0.11744,0.231157,0.020043,
232,3,18:03,3,31.129578,31.116229,,,,,9,9,,,0.184666,0.23594,,
232,3,18:04,4,31.235211,31.219571,,,,,9,9,,,0.275413,0.016787,,
232,3,18:05,5,31.363756,31.374069,,,,,9,9.5,,,0.458812,0.488463,,
232,3,18:06,6,31.47924,31.458593,,,,,9,9.5,,,0.13364,0.142257,,
232,3,18:07,7,31.582065,31.591603,,,,,9,9.5,,,0.087046,0.132218,,
232,3,18:08,8,31.684998,31.681179,,,,,9,9.5,,,0.106585,0.023565,,
232,3,18:09,9,31.821938,31.824268,,,,,9,10,,,0.427748,0.388926,,
232,3,18:10,10,31.935683,31.916776,31.942099,,,,9,10,8.5,,0.124549,0.097431,0.250919,
232,3,18:11,11,32.033361,32.050015,,,,,9,10,,,0.105051,0.058002,,
232,3,18:12,12,32.144682,32.139789,,,,,9,10,,,0.106943,0.264657,,
232,3,18:13,13,32.279143,32.282469,32.280349,,,,9,10,7.5,,0.388959,0.204026,0.177572,
232,3,18:14,14,32.389168,,32.377374,,,,9,,7.5,,0.101497,,0.386983,
232,3,18:15,15,32.490053,32.500345,,,,,9,9.5,,,0.052503,0.076166,,
232,3,18:16,16,32.606317,32.619922,32.590309,,,,9,9.5,7,,0.207932,0.020466,0.07231,
232,3,19:01,1,32.733598,32.751313,32.748781,,,,9,10,7,,0.353301,0.059608,0.367698,
232,3,19:02,2,32.852934,32.847985,32.856932,,,,9,10,7,,0.096858,0.107459,0.175529,
232,3,19:03,3,32.95344,32.967198,,,,,9,10,,,0.113352,0.339384,,
232,3,19:04,4,33.061599,33.061136,33.048853,,,,9,10,7,,0.168198,0.032008,0.300943,
232,3,19:05,5,33.181746,,33.190794,,,,9,,7.5,,0.383654,,0.386059,
232,3,19:06,6,33.297599,33.280831,33.290082,,,,9,10,8,,0.072374,0.155605,0.404124,
232,3,19:07,7,33.400785,33.40806,,,,,9,9.5,,,0.169371,0.122506,,
232,3,19:08,8,33.499802,33.517648,33.505906,,,,9,9.5,7.5,,0.153204,0.202982,0.067702,
232,3,19:09,9,33.640129,33.655265,33.653345,,,,9,9.5,7,,0.403278,0.038501,0.330945,
232,3,19:10,10,33.758099,,33.768953,,,,9,,6.5,,0.084958,,0.07601,
232,3,19:11,11,33.855927,33.864033,,,,,9,9,,,0.094331,0.14383,,
232,3,19:12,12,33.958691,33.967706,33.964562,,,,9,9,6,,0.255759,0.170698,0.284625,
232,3,19:13,13,34.090186,34.10935,34.107135,,,,9,9,6.5,,0.372243,0.054356,0.238203,
232,3,19:14,14,34.216312,34.213549,34.203975,,,,9,9,7,,0.096919,0.104265,0.206377,
232,3,19:15,15,34.315505,34.325493,34.310619,,,,9,9,7,,0.102832,0.063192,0.223338,
232,3,19:16,16,34.418336,34.426181,34.410163,,,,9,9.5,7,,0.073748,0.1094,0.438956,
232,3,20:01,1,34.557179,34.545168,34.541527,,,,9,9.5,7.5,,0.381166,0.2321,0.006694,
232,3,20:02,2,34.6727,34.661478,,,,,9,9.5,,,0.136663,0.304328,,
232,3,20:03,3,34.767764,34.760459,,,,,9,9,,,0.079689,0.147431,,
232,3,20:04,4,34.871371,34.864348,34.878179,,,,9,9,7,,0.098685,0.247196,0.02396,
232,3,20:05,5,35.013729,34.998179,,,,,9,9,,,0.348055,0.342804,,
